Vocabulary List
-----------------------------
1. Zealous - उत्साही  Ans. Enthusiastic
Q.1065. Discover- खोज करना, ढूंढ निकालना  Ans. Find
Q.1066. Lucid- स्पष्ट, सबोधगम्य  Ans. Clear
Q.1067. Duct- वाहिनी, नलिका  Ans. Canal
Q.1068. Achieve- प्राप्त करना, सफल होना  Ans. Succeed
Q.1069. Ominous- अमंगल, अशुभ  Ans. Threatening
Q.1070. Breezy- तूफानी, हवादार  Ans. Airy
Q.1071. Pompous- शेखीबाज़, दिखावा  Ans. Boastful
Q.1072. Active- सि‍य, गतिविधिमान  Ans. Busy
Q.1073. Bind- बाँधना, जकड़ना  Ans. Fasten
Q.1074. Fascinate- आकर्षित करना, मोह लेना  Ans. Captivate
Q.1075. Foment- भड़काना, उत्तेजित करना  Ans. Incite
Q.1076. Angry- नाराज़, क्रोधित  Ans. Enraged
Q.1077. Wane- पतन, कमी  Ans. Decline
Q.1078. Esteem- सम्मान, आदर  Ans. Regard
Q.1079. Frigid- शीतल, ठंडा  Ans. Freezing
Q.1080. Generic- जातिगत, सामान्य  Ans. Universal
Q.1081. Regime- शासन, सरकार  Ans. Rule
Q.1082. Dedicated- समर्पित, प्रतिबद्ध  Ans. Committed
Q.1083. Prompt- तात्कालिक, त्वरित  Ans. Quick
Q.1084. Yield(n)- पैदावार, फसल  Ans. Harvest, produce, increase
Q.1085. Iota- तिलमिला, बिंदुमा  Ans. Bit
Q.1086. Transmit- भेजना, संचारित करना  Ans. Convey, give
Q.1087. Chaos- अराजकता, गड़बड़ी  Ans. Confusion
Q.1088. Rejuvenate- कायाकल्प, जीर्णोद्वार  Ans. Refresh
Q.1089. Adjust- समायोजित, ठीक करना  Ans. Adapt
Q.1090. Slack- असावधान  Ans. Careless
Q.1091. Munch- चबाना, काटना  Ans. Chew
Q.1092. Termination- समाप्ति, समापन  Ans. Conclusion
Q.1093. Debilitate- शारीरिक रूप से कमजोर करना  Ans. Weaken
Q.1094. Wander- घूमना, भटकना  Ans. Roam
Q.1095. Grumble- बड़बड़ाना, भुनभुनाना  Ans. Groan, complain
Q.1096. Testify- गवाही देना, प्रमाणित करना  Ans. Affirm
Q.1097. Brat- छोकरा, बिगड़ैल बच्चा  Ans. Spoilt child
Q.1098. Deride- उपहास करना, मजाक करना  Ans. Mock
Q.1099. Poignant- मार्मिक, मर्मस्पर्शी  Ans. Touching
Q.1100. Calm- शांति, शांत  Ans. Relaxed
Q.1101. Detrimental- हानिकारक, विघातक  Ans. Harmful
Q.1102. Tag- पट्टी, टैग  Ans. Label
Q.1103. Commence- आरंभ, प्रारंभ करना  Ans. Start
Q.1104. Principle- सिद्धांत, नीति  Ans. Axiom
Q.1105. Spill- छलकना, गिरना  Ans. Drop
Q.1106. Breakthrough- सफलता, उपलब्धि  Ans. Discovery
Q.1107. Absolve- दोषमुक्त करना, माफ करना  Ans. Pardon
Q.1108. Banner- पताका, झंडी  Ans. Poster
Q.1109. Bang- धमाका, गरजना  Ans. Beat
Q.1110. Ponder- विचार करना, चिंतन करना  Ans. Meditate
Q.1111. Uncanny- अलौकिक, अद्भुत  Ans. Mysterious
Q.1112. Shimmer- चमकना, झिलमिलाना  Ans. Shine
Q.1113. Leverage- उठान, प्रभाव  Ans. Influence
Q.1114. Integrate- एकीकरण, संघटन  Ans. Assimilate
Q.1115. Cadence- लय  Ans. Rhythm
Q.1116. Abstain- तटस्थता, परहेज रखना  Ans. Refrain
Q.1117. Humdrum- नीरस, फीका  Ans. Boring
Q.1118. Drag- खींचना, कष्ट  Ans. Pull
Q.1119. Aggravate- को परेशान करना  Ans. Intensify
Q.1120. Contradict- खंडन, विरोध  Ans. Refute
Q.1121. Disgrace- अपमान, निरादर  Ans. Dishonor
Q.1122. Prudent- विवेकी, समझदार  Ans. Cautious
Q.1123. Stretch- फैलाना, विस्तार  Ans. Extend
Q.1124. Precision- यथार्थता, सटीकता  Ans. Accuracy
Q.1125. Priority- प्राथमिकता, वरीयता  Ans. Preference
Q.1126. Random- यादृच्छिक, बेतरतीब  Ans. Arbitrary
Q.1127. Bolster- सहारा देना, थामना  Ans. Strengthen
Q.1128. Isolated- पृथक, अलग-थलग  Ans. Secluded
Q.1129. Emerge- उभरना, प्रकट होना  Ans. Appear
Q.1130. Condescension- कृपालुता, भेदभाव  Ans. Disdain
Q.1131. Attract- आकर्षित करना, मोह लेना  Ans. Fascinate
Q.1132. Reckless- लापरवाह, असावधान  Ans. Thoughtless
Q.1133. Deviate- पथ से हटना, विकृत करना  Ans. Veer
Q.1134. Diffidence- संकोच, झिझक  Ans. Meekness
Q.1135. Ragged- फटा-पुता, पुराना  Ans. Torn
Q.1136. Adulation- चापलूसी  Ans. Adoration
Q.1137. Dreaded- खतरनाक, भयावह  Ans. Feared
Q.1138. Dictator- तानाशाह, एकाधिपति  Ans. Tyrant
Q.1139. Resplendent- चमकीला, प्रकाशमान  Ans. Dazzling
Q.1140. Bull-headed- हठी, अड़ियल  Ans. Headstrong
Q.1141. Lint- पत्ती, रोआँ  Ans. Fur
Q.1142. Wistful- उदासी, चिंतन  Ans. Sorrowful
Q.1143. Divulge- भेद खोलना, बताना  Ans. Reveal
Q.1144. Mandatory- अनिवार्य, आवश्यक  Ans. Imperative
Q.1145. Abode- निवास, घर  Ans. Dwelling
Q.1146. Probe- जांच, अनुसंधान  Ans. Investigate
Q.1147. Brace- बांधना, मजबूत करना  Ans. Fortify
Q.1148. Severity- कठोरता, गंभीरता  Ans. Seriousness
Q.1149. Emerge- उभरना, प्रकट होना  Ans. Appear
Q.1150. Wry- टेढ़ा, कुटिल हंसी  Ans. Crooked
Q.1151. Malignant- दुर्व्यवहार, हानिकारक  Ans. Vicious
Q.1152. Comply- पालन करना, स्वीकार करना  Ans. Obey
Q.1153. Dearth- कमी  Ans. Shortage
Q.1054. Magnanimous- उदार  Ans.Charitable
Q.1055. Proactive- असि्य, उभाही  Ans. Enthusiastic
Q.1056. Strenuous- कठोर, कठिन प्रयास  Ans. Difficult
Q.1057. Elegant- मनोहर, सुशोिभत  Ans. Graceful
Q.1058. Abuse- गाली, दुर्वहार करना  Ans. Harm
Q.1059. Allow- अनुमित देना, स्वीकृति करना  Ans. Permit
Q.1060. Exultation- उन्नति, उमंग  Ans. Jubilation
Q.1061. Retort- तुरंती, जवाब देना  Ans. Reply
Q.1062. Enthrall- गूड़ाम बनाना, दास बनाना  Ans. Enchant
Q.1063. Isolate- अलग करना, पृथक करना  Ans. Detach
Q.1064. Banish- निकाल देना  Ans. Exile
Q.1065. Discover- खोज करना, ढूंढ निकालना  Ans. Find
Q.1066. Lucid- स्पष्ट, सबोधगम्य  Ans. Clear
Q.1067. Duct- वाहिनी, नलक  Ans. Canal
Q.1068. Achieve- प्राप्त करना, सफल होना  Ans. Succeed
Q.1069. Ominous- अमंगल, अशुभ  Ans. Threatening
Q.1070. Breezy- तूफानी, हवादार  Ans. Airy
Q.1071. Pompous- शेखीबाज़, दिखावा  Ans. Boastful
Q.1072. Active- सजीव, सक्रिय  Ans. Busy
Q.1073. Bind- बाँधना, जकड़ना  Ans. Fasten
Q.1074. Fascinate- आकर्षित करना, मोहित करना  Ans. Captivate
Q.1075. Foment- भड़काना, उत्तेजित  Ans. Incite
Q.1076. Angry- नाराज़, क्रोधित  Ans. Enraged
Q.1077. Wane- पतन, घटना  Ans. Decline
Q.1078. Esteem- सम्मान, आदर  Ans. Regard
Q.1079. Frigid- शीतल, ठंडा  Ans. Freezing
Q.1080. Generic- जातिगत, सामान्य  Ans. Universal
Q.1081. Regime- शासन, हुकूमत  Ans. Rule
Q.1082. Dedicated- समर्पित, प्रतिबद्ध  Ans. Committed
Q.1083. Prompt- तात्कालिक, तुरंत  Ans. Quick
Q.1084. Yield(n) - पैदावार, फसल  Ans. Harvest, produce, increase
Q.1085. Iota- तिलमा, बिंदुमा  Ans. Bit
Q.1086. Transmit- भेजना, संचारित करना  Ans. Convey, give
Q.1087. Chaos- अराजकता, गड़बड़ी  Ans. Confusion
Q.1088. Rejuvenate- कायाकल्प, जीर्णोधार  Ans. Refresh
Q.1089. Adjust- समायोजित, ठीक करना  Ans. Adapt
Q.1090. Slack - असावधान  Ans. Careless
Q.1091. Munch- चबाना, काटना  Ans. Chew
Q.1092. Termination- समाप्ति, समापन  Ans. Conclusion
Q.1093. Debilitate- कमजोर करना, दुर्बल करना  Ans. Weaken
Q.1094. Wander- घूमना, भटकना  Ans. Roam
Q.1095. Grumble- बड़बड़ाना, भुनभुनाना  Ans. Groan, complain
Q.1096. Testify- गवाही देना, प्रमाणित करना  Ans. Affirm
Q.1097. Brat- छोकरा, बिगड़ैल बच्चा  Ans. Spoilt child
Q.1098. Deride- उपहास करना, मजाक करना  Ans. Mock
Q.1099. Poignant- मर्मस्पर्शी, मार्मिक  Ans. Touching
Q.1100. Calm- शांति, शांत  Ans. Relaxed
Q.1101. Detrimental- हानिकारक, विघातक  Ans. Harmful
Q.1102. Tag- पटी, टैग  Ans. Label
Q.1103. Commence- आरंभ, प्रारंभ करना  Ans. Start
Q.1104. Principle- सिद्धांत, रीति  Ans. Axiom
Q.1105. Spill- छलकना, गिरना  Ans. Drop
Q.1106. Breakthrough- सफलता, उपलब्धि  Ans. Discovery
Q.1107. Absolve- दोषमुक्त करना, माफ करना  Ans. Pardon
Q.1108. Banner- पताका, झंडी  Ans. Poster
Q.1109. Bang- धमाका, गरजना  Ans. Beat
Q.1110. Ponder- विचार करना, चिंतन करना  Ans. Meditate
Q.1111. Uncanny- अलौकिक, अद्भुत  Ans. Mysterious
Q.1112. Shimmer- टिमटिमाना, झिलमिलाना  Ans. Shine
Q.1113. Leverage- उत्थान, प्रभाव  Ans. Influence
Q.1114. Integrate- एकीकरण, संघटन  Ans. Assimilate
Q.1115. Cadence- लय  Ans. Rhythm
Q.1116. Abstain- परहेज रखना, तटस्थता  Ans. Refrain
Q.1117. Humdrum- नीरस, फीका  Ans. Boring
Q.1118. Drag- खींचना, कष्ट  Ans. Pull
Q.1119. Aggravate - क्रोधित करना, उत्तेजित करना  Ans. Intensify
Q.1120. Contradict- खंडन, विरोध करना  Ans. Refute
Q.1121. Disgrace- अपमान, निरादर  Ans. Dishonor
Q.1122. Prudent- विवेकी, समझदार  Ans. Cautious
Q.1123. Stretch- फैलाना, विस्तारित करना  Ans. Extend
Q.1124. Precision- यथार्थता, शुद्धता  Ans. Accuracy
Q.1125. Priority- प्राथमिकता, वरीयता  Ans. Preference
Q.1126. Random- यादृच्छिक, बेतरतीब  Ans. Arbitrary
Q.1127. Bolster- सहारा देना, थामना  Ans. Strengthen
Q.1128. Isolated- पृथक, अलग-थलग  Ans. Secluded
Q.1129. Emerge- उभरना, प्रकट होना  Ans. Appear
Q.1130. Condescension- कृपालुता, भड़कीला व्यवहार  Ans. Disdain
Q.1131. Attract- आकर्षित करना, मोह लेना  Ans. Fascinate
Q.1132. Reckless- लापरवाह, असावधान  Ans. Thoughtless
Q.1133. Deviate- पथ से हटना, विकृत होना  Ans. Veer
Q.1134. Diffidence- संकोच, झिझक  Ans. Meekness
Q.1135. Ragged- फटा, पुराना  Ans. Torn
Q.1136. Adulation- चापलूसी  Ans. Adoration
Q.1137. Dreaded- खतरनाक, भयावह  Ans. Feared
Q.1138. Dictator- तानाशाह, एकाधिपति  Ans. Tyrant
Q.1139. Resplendent- चमकीला, प्रकाशमान  Ans. Dazzling
Q.1140. Bull-headed- हठी, अड़ियल  Ans. Headstrong
Q.1141. Lint- पटी, रोआँ  Ans. Fur
Q.1142. Wistful- उदासी, चिंतित  Ans. Sorrowful
Q.1143. Divulge- भेद खोलना, बताना  Ans. Reveal
Q.1144. Mandatory- आवश्यक, अनिवार्य  Ans. Imperative
Q.1145. Abode- निवास, घर  Ans. Dwelling
Q.1146. Probe- जांच, अनुसंधान  Ans. Investigate
Q.1147. Brace- बांधना, मजबूती देना  Ans. Fortify
Q.1148. Severity- कठोरता, गंभीरता  Ans. Seriousness
Q.1149. Emerge- उभरना, प्रकट होना  Ans. Appear
Q.1150. Wry- टेढ़ा, चिढ़ाने वाली हंसी  Ans. Crooked
Q.1151. Malignant- दुष्ट, हानिकारक  Ans. Vicious
Q.1152. Comply- पालन करना, स्वीकार करना  Ans. Obey
Q.1153. Dearth - कमी  Ans. Shortage
Q.1154. Encroach - अतिक्रमण  Ans. Intrude
Q.1155. Apparently - प्रतीत होता है  Ans. Seemingly
Q.1156. Despicable - घृणित  Ans. Contemptible
Q.1157. Forbid - निषेध  Ans. Prohibit
Q.1158. Salient - प्रमुख  Ans. Noticeable
Q.1159. Apathetic - उदासीन  Ans. Indifferent
Q.1160. Herald - दूत  Ans. Announce
Q.1161. Callous - निर्दयी  Ans. Insensitive
Q.1162. Bonhomie - मिलनसारिता  Ans. Companionship
Q.1163. Fascination - आकर्षण  Ans. Appeal
Q.1164. Commence - आरंभ करना  Ans. Launch
Q.1165. Imitate - नकल करना  Ans. Mimic
Q.1166. Paranoid - संदिग्ध  Ans. Suspicious
Q.1167. Allege - आरोपित करना  Ans. Charge
Q.1168. Clean - साफ  Ans. Honest
Q.1169. Complicated - जटिल  Ans. Complex
Q.1170. Delectable - स्वादिष्ट  Ans. Luscious
Q.1171. Forsake - छोड़ देना  Ans. Desert
Q.1172. Profuse - प्रचुर  Ans. Abundant
Q.1173. Dilemma - असमंजस  Ans. Predicament
Q.1174. Emerge - उभरना  Ans. Appear
Q.1175. Silt - कीचड़  Ans. Residue
Q.1176. Vacillate - हिचकिचाना  Ans. Waver
Q.1177. Travail - पीड़ा  Ans. Agony
Q.1178. Appalling - भयावह  Ans. Shocking
Q.1179. Trail - चिह्न  Ans. Path
Q.1180. Pollute - दूषित करना  Ans. Contaminate
Q.1181. Anticipate - पूर्वानुमान  Ans. Expect
Q.1182. Jeopardy - खतरा  Ans. Peril
Q.1183. Saga - कथा  Ans. Narrative
Q.1184. Wreak - बदला लेना  Ans. Cause
Q.1185. Repulsive - घृणास्पद  Ans. Disgusting
Q.1186. Ban - निषेध  Ans. Prohibit
Q.1187. Mortal - नाशवान  Ans. Deadly
Q.1188. Hapless - दयनीय  Ans. Unlucky
Q.1189. Tenacity - दृढ़ता  Ans. Firmness
Q.1190. Accustomed - आदी  Ans. Habituated
Q.1191. Enthusiasm - जोश  Ans. Zeal
Q.1192. Mundane - नीरस  Ans. Commonplace
Q.1193. Shrewd - चालाक  Ans. Judicious
Q.1194. Submerge - डूबना  Ans. Drown
Q.1195. Promising - होनहार  Ans. Bright
Q.1196. Puzzled - उलझन  Ans. Confused
Q.1197. Tend - देखभाल करना  Ans. Care For
Q.1198. Sustain - कायम रखना  Ans. Support
Q.1199. Whirl - घुमाना  Ans. Spin
Q.1200. Shudder - काँपना  Ans. Shiver
Q.1201. Defect - दोष  Ans. Flaw
Q.1202. Ardent - उत्साही  Ans. Passionate
Q.1203. Thwart - रोकना  Ans. Curb
Q.1204. Tousled - बेतरतीब  Ans. Disarranged
Q.1205. Predicament - कठिनाई  Ans. Dilemma
Q.1206. Inventory - सूची  Ans. Catalog
Q.1207. Consult - परामर्श  Ans. Discuss
Q.1208. Erroneous - गलत  Ans. Inaccurate
Q.1209. Valuable - मूल्यवान  Ans. Precious
Q.1210. Deference - सम्मान  Ans. Compliance
Q.1211. Denial - इनकार  Ans. Dismissal
Q.1212. Explicit - स्पष्ट  Ans. Clear
Q.1213. Violation - उल्लंघन  Ans. Breach
Q.1214. Foundation - नींव  Ans. Base
Q.1215. Just - केवल  Ans. Fair
Q.1216. Imitation - नकल  Ans. Fake
Q.1217. Fiction - काल्पनिक  Ans. Fantasy
Q.1218. Condone - माफ करना  Ans. Forgive
Q.1219. Catastrophic - आपदा  Ans. Calamity
Q.1220. Sumptuous - भव्य  Ans. Opulent
Q.1221. Wrench - खींचना  Ans. Wrest
Q.1222. Fasten - बांधना  Ans. Affix
Q.1223. Gaudy - भड़कीला  Ans. Flashy
Q.1224. Lofty - ऊँचा  Ans. Towering
Q.1225. Coveted - वांछित  Ans. Desired
Q.1226. Shove - धक्का देना  Ans. Push
Q.1227. Tumult - कोलाहल  Ans. Uproar
Q.1228. Intriguing - मोहक  Ans. Gripping
Q.1229. Spontaneous - स्वाभाविक  Ans. Unplanned
Q.1230. Desolate - निःजन, उजाड़  Ans. Bleak
Q.1231. Benign - सौम्य, कृपालु  Ans. Favourably
Q.1232. Prodigal - अपव्ययी, खचला  Ans. Wasteful
Q.1233. Oblivious - बेखबर, अनजान  Ans. Ignorant
Q.1234. Authentic - प्रमाणिक, विश्वसनीय  Ans. Genuine
Q.1235. Flabbergasted - दंग, भौं चौंका  Ans. Astonished
Q.1236. Auspicious - शुभ, पवित्र, गुणकारी  Ans. Favorable
Q.1237. Gradual - क्रमशः, धीमा  Ans. Continuous
Q.1238. Estimate - आकलन, अनुमान  Ans. Assess
Q.1239. Motive - उद्देश्य, कारण  Ans. Reason
Q.1240. Ramification - जटिलता, परिणाम  Ans. Consequence
Q.1241. Efficiency - कार्यक्षमता, दक्षता  Ans. Capability
Q.1242. Astonishment - आश्चर्य  Ans. Wonder
Q.1243. Condescending - कृपालु, विनीत  Ans. Patronising
Q.1244. Accurately - यथार्थतः, शुद्धता से  Ans. Correctly
Q.1245. Perceive - समझना, देखना  Ans. Notice
Q.1246. Discontent - असंतोष, नाराज़गी  Ans. Dissatisfaction
Q.1247. Quarantine - अलग करना, पृथक  Ans. Isolation
Q.1248. Survey - सर्वेक्षण, जांच  Ans. Examine
Q.1249. Rough - खुरदुरा, कठोर  Ans. Coarse
Q.1250. Supreme - सर्वोच्च, मुख्य  Ans. Head
Q.1251. Disrupt - बाधित, भंग करना  Ans. Break
Q.1252. Protest - विरोध करना  Ans. Oppose
Q.1253. Accomplish - समाप्त करना, संपूर्ण करना  Ans. Achieve
Q.1254. Decent - शालीन, सुसंस्कृत  Ans. Respectable
Q.1255. Supple - लचीला, मुलायम  Ans. Flexible
Q.1256. Bleak - कठोर, उदास, ठंडा  Ans. Grim
Q.1257. Courteous - विनम्र  Ans. Polite
Q.1258. Certain - निश्चित, निर्धारित  Ans. Sure
Q.1259. Assertion - जोरदार बयान, दावा  Ans. Declaration
Q.1260. Guile - छल, कपट  Ans. Deceit
Q.1261. Furtive - रहस्यमय, गुप्त  Ans. Secretive
Q.1262. Agile - फुर्तीला, चतुर  Ans. Nimble
Q.1263. Insidious - घातक, कपटी  Ans. Crafty
Q.1264. Diligent - परिश्रमी, अनवरत  Ans. Untiring
Q.1265. Opulent - भव्य, शानदार  Ans. Luxurious
Q.1266. Enrage - उत्तेजित करना, क्रोधित करना  Ans. Infuriate
Q.1267. Constraint - प्रतिबंध, अवरोध  Ans. Control
Q.1268. Foliage - पत्ते, पौधों का समूह  Ans. Greenery
Q.1269. Nebulous - धुंधला, अस्पष्ट  Ans. Vague
Q.1270. Rind - छिलका, पेड़ का बाहरी आवरण  Ans. Peel
Q.1271. Aura - प्रभाव, अदृश्य क्षेत्र  Ans. Halo
Q.1272. Mandible - जबड़ा, चोंच  Ans. Jaw
Q.1273. Prejudice - पूर्वाग्रह, पूर्वधारणा  Ans. Bias
Q.1274. Persecution - अत्याचार, पीड़ा  Ans. Oppression
Q.1275. Mandate - जनादेश, शासनादेश  Ans. Official order
Q.1276. Rotund - गोलाकार  Ans. Round
Q.1277. Holistic - समग्र  Ans. Comprehensive
Q.1278. Lurk - दुबकना, छिप कर बैठना  Ans. Prowl
Q.1279. Integrate - एकीकृत करना  Ans. Unite
Q.1280. Tolerance - सहिष्णुता  Ans. Endurance
Q.1281. Interspersed - बिखेरना  Ans. Scattered
Q.1282. Masqueraded - बहाना करना  Ans. Acted
Q.1283. Derogatory - अपमानजनक  Ans. Sarcastic
Q.1284. Deplete - घटाना, कम करना  Ans. Reduce
Q.1285. Rowdy - उच्छृंखल, उपद्रवी  Ans. Boisterous
Q.1286. Barren - बंजर भूमि, फलहीन  Ans. Desolate
Q.1287. Idleness - आलस्य, अकर्मण्यता  Ans. Lethargy
Q.1288. Reproach - डांटना  Ans. Berate
Q.1289. Remorse - पछतावा, अफसोस करना  Ans. Regret
Q.1290. Glum - उदास, निराश  Ans. Dismal
Q.1291. Opulent - भव्य, शानदार  Ans. Sumptuous
Q.1292. Reconcile - समाधान करना, मनवाना  Ans. Resolve
Q.1293. Salvage - बचाना, रक्षित करना  Ans. Save
Q.1294. Motif - चित्रांकन, आकृति  Ans. Design
Q.1295. Accrue - लाभ होना, इकट्ठा करना  Ans. Collect
Q.1296. Delinquent - दोषी, अपराधी  Ans. Offending
Q.1297. Prodigious - अद्भुत, विशाल  Ans. Immense
Q.1298. Fraudulent - धोखेबाज़, कपटपूर्ण  Ans. Deceitful
Q.1299. Indomitable - अदम्य, अजय  Ans. Invincible
Q.1300. Congenial - अनुकूल, सुखद  Ans. Compatible
Q.1301. Pedigree - वंश, नस्ल  Ans. Lineage
Q.1302. Altruist - जन हितैषी, परोपकारी  Ans. Philanthropist
Q.1303. Haughty - घमंडी, अहंकारी  Ans. Arrogant
Q.1304. Enunciate - स्पष्ट करना, उच्चारण करना  Ans. Articulate
Q.1305. Assemble - एकत्र करना, इकट्ठा करना  Ans. Amass
Q.1306. Reproach - डांटना  Ans. Berate
Q.1307. Idleness - आलस्य  Ans. Lethargy
Q.1308. Despondent - निराश, उदास  Ans. Depressed
Q.1309. Trust (n) - विश्वास, धारणा  Ans. Belief
Q.1310. Alluring - मनोहर, आकर्षक  Ans. Attractive
Q.1311. Surge - आवेश, हड़बड़ी  Ans. Rush
Q.1312. Cove - खाड़ी  Ans. Bay
Q.1313. Resilient - लचीला  Ans. Supple
Q.1314. Occur - घटित होना, उत्पन्न होना  Ans. Happen
Q.1315. Jovial - आनंदित, प्रसन्न  Ans. Joyous
Q.1316. Choosy - नखरे वाला, तुनुकमिजाज  Ans. Selective
Q.1317. Kit - उपकरण  Ans. Equipment
Q.1318. Anodyne - पीड़ा नाशक, दवा  Ans. Benign
Q.1319. Instigate - भड़काना, उकसाना  Ans. Kindle
Q.1320. Quarrelsome - झगड़ालू, विवादित  Ans. Querulous
Q.1321. Adjustment - तालमेल, समायोजन  Ans. Balancing
Q.1322. Tarnish - बदनाम करना  Ans. Damage
Q.1323. Pleasant - मनोहर, सुखद  Ans. Refreshing
Q.1324. Penury - दरिद्रता  Ans. Poverty
Q.1325. Festivity - आनन्दोत्सव, उत्सव  Ans. Celebration
Q.1326. Obligatory - अनिवार्य, आवश्यक  Ans. Mandatory
Q.1327. Scintillating - चमकीला, चमकना  Ans. Glittering
Q.1328. Pathetic - दयनीय, भावनात्मक  Ans. Pitiful
Q.1329. Penitence - पश्चाताप  Ans. Repentance
Q.1330. Glorious - तेजस्वी, यशस्वी  Ans. Splendid
Q.1331. Implore - याचना करना, प्रार्थना करना  Ans. Plead
Q.1332. Revere - आदर करना, सम्मान करना  Ans. Respect
Q.1333. Acknowledgment - स्वीकार  Ans. Confirmation
Q.1334. Prodigal - विलासी, अपव्ययी  Ans. Extravagant
Q.1335. Fury - क्रोध, उत्तेजना  Ans. Anger
Q.1336. Solitary - निःजन, अकेला  Ans. Singular
Q.1337. Expensive - महंगा, costly  Ans. Dear
Q.1338. Erudite - विद्वान  Ans. Learned
Q.1339. Violent - हिंसक, उग्र  Ans. Aggressive
Q.1340. Catastrophic - विनाशकारी  Ans. Disastrous
Q.1341. Deficiency - अभाव, कमी  Ans. Inadequacy
Q.1342. Preferred - वरीयता प्राप्त  Ans. Favoured
Q.1343. Ovation - अभिनंदन, जयजयकार  Ans. Applause
Q.1344. Cordial - हार्दिक, स्वागतपूर्ण  Ans. Warm
Q.1345. Disheartened - निराश, निरुत्साहित  Ans. Depressed
Q.1346. Repercussion - प्रतिक्रिया  Ans. Reaction
Q.1347. Juvenile - किशोर, लड़कपन  Ans. Childish
Q.1348. Weary - थक जाना, ऊब जाना  Ans. Exhausted
Q.1349. Assault - हमला, धावा  Ans. Attack
Q.1350. Thrive - समृद्ध होना, पनपना  Ans. Flourish
Q.1351. Solemn - गंभीर, प्रभावशाली  Ans. Serious
Q.1352. Abort - समाप्त करना  Ans. End
Q.1353. Exceed - अधिक होना, बढ़ जाना  Ans. Surpass
Q.1354. Relief - राहत, आराम  Ans. Aid
Q.1355. Inclement - कठोर, घमंडी  Ans. Dignified
Q.1356. Subsequent - पीछे आने वाला  Ans. Consecutive
Q.1357. Adequate - पर्याप्त, काफ़ी  Ans. Sufficient
Q.1358. Tranquil - शांति, शान्त  Ans. Calm
Q.1359. Fascinating - आकर्षक  Ans. Appealing
Q.1360. Condemn - निंदा करना, भर्त्सना  Ans. Denounce
Q.1361. Engulf - निगलना  Ans. Inundate
Q.1362. Offend - बुरा लगना, नाराज़ करना  Ans. Annoy
Q.1363. Parsimony - कंजूसी  Ans. Frugality
Q.1364. Apparent - स्पष्ट, उजागर  Ans. Obvious
Q.1365. Trivial - तुच्छ, सतही  Ans. Superficial
Q.1366. Fatigue - थकान, थकावट  Ans. Weariness
Q.1367. Flourish - समृद्ध होना, फलना  Ans. Thrive
Q.1368. Perpetuate - बनाए रखना, स्थायी बनाना  Ans. Preserve
Q.1369. Discern - विचार करना  Ans. Perceive
Q.1370. Inimical - शत्रुतापूर्ण, दुश्मन  Ans. Hostile
Q.1371. Venerable - पूजनीय, माननीय  Ans. Esteemed
Q.1372. Sanction - मंजूरी, स्वीकृति  Ans. Approval
Q.1373. Jeopardy - जोखिम, खतरा  Ans. Peril
Q.1374. Ignominy - अपमान, बदनामी  Ans. Disgrace
Q.1375. Incessant - निरंतर, लगातार  Ans. Persistent
Q.1376. Opinion - विचार, राय  Ans. View
Q.1377. Loyal - ईमानदार, वफादार  Ans. Devoted
Q.1378. Incredible - अतुलनीय, अविश्वसनीय  Ans. Unbelievable
Q.1379. Aloof - अलग, थलग  Ans. Detached
Q.1380. Intensify - तीव्र करना, बढ़ाना  Ans. Strengthen
Q.1381. Exasperate - भड़काना, चिढ़ाना  Ans. Infuriate
Q.1382. Feign - बहाना करना  Ans. Pretend
Q.1383. Efficacious - प्रभावशाली, शक्तिशाली  Ans. Effective
Q.1384. Beguile - धोखा देना, बहकाना  Ans. Deceive
Q.1385. Deference - आदर, सम्मान  Ans. Obedience
Q.1386. Disastrous - दुखद, विनाशकारी  Ans. Calamitous
Q.1387. Fatigue - थकान, थकावट  Ans. Tiredness
Q.1388. Surreptitious - गुप्त  Ans. Secretive
Q.1389. Reprimand - डांटना, फटकार  Ans. Rebuke
Q.1390. Malady - बीमारी, रोग  Ans. Illness
Q.1391. Missive - राजनीतिक संदेश, पत्र  Ans. Letter
Q.1392. Insipid - फीका, नीरस  Ans. Bland
Q.1393. Proximity - निकटता  Ans. Closeness
Q.1394. Corridor - गलियारा, गैलरी  Ans. Passage
Q.1395. Agitated - उत्तेजित, चिंतित  Ans. Upset
Q.1396. Eliminate - हटाना, निकालना  Ans. Remove
Q.1397. Mandatory - अनिवार्य, आवश्यक  Ans. Compulsory
Q.1398. Robust - मजबूत, तगड़ा  Ans. Healthy
Q.1399. Magnify - बड़ा करना  Ans. Enlarge
Q.1400. Solid - ठोस, सघन  Ans. Firm


